#COVID-19 Progression Model. XR Pharmaceuticals Ltd. 2020, www.xph.co.nz
# New Zealand,Pop:, 4885500,Pop. density:, 1.86000E+01, Model days:  163 to  68, Opt_by_density: TRUE
#Model parameters:,a1:, 3.00000E-01,b1:, 1.12500E+00,b2:, 1.35000E+00,k1:, 6.25000E-01,k2:, 5.12500E+00,bend date:,2020-04-09,cumulative cases:, 1126
#Date, Day,Cases,CumCases,CumDens,Rate,CalcRate,CalcDens,CalcCumCases
2020-07-10, 191, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-11, 192, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-12, 193, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-13, 194, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-14, 195, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-15, 196, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-16, 197, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-17, 198, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-18, 199, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-19, 200, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-20, 201, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-21, 202, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-22, 203, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-23, 204, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-24, 205, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-25, 206, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-26, 207, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-27, 208, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-28, 209, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-29, 210, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-30, 211, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-31, 212, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-08-01, 213, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-08-02, 214, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-08-03, 215, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
